Round,Accuracy
0,0.3666984429615507
1,0.9930092151255163
2,0.9958690816650778
3,0.998093422306959
4,0.9977756593581188
5,0.998093422306959
6,0.9977756593581188
7,0.9977756593581188
8,0.9984111852557992
9,0.9984111852557992
10,0.9987289482046393
11,0.9984111852557992
12,0.998093422306959
13,0.9990467111534795
14,0.9987289482046393
15,0.9977756593581188
16,0.9987289482046393
17,0.998093422306959
18,0.9984111852557992
19,0.9984111852557992
20,0.9987289482046393
21,0.9987289482046393
22,0.9987289482046393
23,0.9987289482046393
24,0.9990467111534795
25,0.9987289482046393
26,0.9987289482046393
27,0.9984111852557992
28,0.9990467111534795
29,0.998093422306959
30,0.9984111852557992
